Sample,Location,Effluent,AVS.surf,AVS.deep,SEMFe.surf,SEMFe.deep,SEMMn.surf,SEMMn.deep,SEMNi.surf,SEMNi.deep,TotalFe.surf,TotalFe.deep,TotalMn.surf,TotalMn.deep,TotalNi.surf,TotalNi.deep,ASCFe.surf,ASCFe.deep,ASCMn.surf,ASCMn.deep,ASCNi.surf,ASCNi.deep,DITFe.surf,DITFe.deep,DITMn.surf,DITMn.deep,DITNi.surf,DITNi.deep,N.surf,N.deep,C.surf,C.deep,Flu,Chl,Bro,SO4,Ni,Cond,pH,CrysFe.surf,CrysFe.deep,CrysNi.surf,CrysNi.deep,PSEMFe.surf,PSEMFe.deep,PSEMMn.surf,PSEMMn.deep,PSEMNi.surf,PSEMNi.deep,PAmFe.surf,PAmFe.deep,PAmNi.surf,PAmNi.deep,PCrysFe.surf,PCrysFe.deep,PCrysNi.surf,PCrysNi.deep,POxidMn.surf,POxidMn.deep,SEMAVS.surf,SEMAVS.deep,SEMAVSfOC.surf,SEMAVSfOC.deep
BE1,Birchtree,Exposure,0.389,1.65,9498.482,7960.51,774.9,358.8,166.94,149.57,31556.83,30376.92,953.75,600.29,219.34,242.07,2768.58,2464.55,340.47,207.29,37.69,39.3,11364.55,7988.586,606.27,255.086,151.74,145.798,0.207,0.214,4.595,4.388,1.489,841.732,25.503,445.656,8.2,365,8.31,8595.97,5510.98,114.05,105.35,0.301,0.262,0.812,0.598,0.761,0.618,0.088,0.081,0.172,0.162,0.272,0.181,0.52,0.435,0.636,0.425,2.455,0.898,53.437,20.476
BE2,Birchtree,Exposure,5.414,5.404,7223.854,6205.65,242.62,232.74,227.12,208.87,27454.75,26452.19,467.72,449.21,378.99,419.13,2193.17,1560.56,128.4,103.23,63.53,61.87,7271.99,10834.25,213.84,357.73,169.73,275.29,0.132,0.12,3.857,4.178,2.978,545.679,18.224,292.046,3.4,284.3,8.48,5078.82,9273.69,106.2,213.42,0.263,0.235,0.519,0.518,0.599,0.498,0.08,0.059,0.168,0.148,0.185,0.351,0.28,0.509,0.457,0.796,-1.544,-1.85,-40.036,-44.283
BE3,Birchtree,Exposure,0.044,1.051,9345.961,6360.38,1084.66,401.43,129.49,28.09,28701.1,34534.85,743.71,694.77,152.74,98.62,3799.72,1227.48,856.82,159.58,82.11,19.4,7559.13,5486.89,517.13,186.13,92.58,31.76,0.3,0.21,8.902,6.526,3.722,409.701,25.503,243.752,3.1,260.4,8.23,3759.41,4259.41,10.47,12.36,0.326,0.184,1.458,0.578,0.848,0.285,0.132,0.036,0.538,0.197,0.131,0.123,0.069,0.125,0.695,0.268,2.162,-0.572,24.29,-8.771
BE4,Birchtree,Exposure,0.178,0.159,8733.635,7340.73,329.39,366.42,29.21,24.39,36634.55,36634.27,710.55,641.63,64.71,59.04,3053.57,3909.7,282.76,320.31,8.45,9.2,12819.659,14007.25,382.396,950.82,25.486,210.22,0.095,0.049,1.51,0.53,2.978,237.69,21.864,166.772,2.6,225,8.16,9758.68,10097.55,17.03,201.02,0.238,0.2,0.464,0.571,0.451,0.413,0.083,0.107,0.131,0.156,0.266,0.276,0.263,3.405,0.538,1.482,0.32,0.257,21.172,48.41
BE5,Birchtree,Exposure,0.027,0.132,7614.708,9677.06,818.54,236.56,148.15,250.22,33296.28,33298.28,568.14,476.19,330.96,371.75,4972.45,4533.94,784.57,97.83,77.22,58.03,11733.15,15875.63,197.61,266.71,224.89,311.34,0.237,0.175,3.586,4.125,2.978,24851.734,865.622,12972.82,28,7255,8.54,6760.7,11341.69,147.67,253.31,0.229,0.291,1.441,0.497,0.448,0.673,0.149,0.136,0.233,0.156,0.203,0.341,0.446,0.681,0.348,0.56,2.497,4.131,69.64,100.156
BE6,Birchtree,Exposure,0.324,7.588,9874.861,9192.95,455.2,251.96,209.69,257.86,34963.22,31218.91,534.64,427.38,355.9,335.51,4140.54,2696.34,292.24,113.12,53.02,56.2,10761.43,13266.18,390.18,296.89,165.92,243.68,0.307,0.196,4.126,4.881,1.489,8124.948,43.674,3764.942,16,1698,8.58,6620.89,10569.84,112.9,187.48,0.282,0.294,0.851,0.59,0.589,0.769,0.118,0.086,0.149,0.168,0.189,0.339,0.317,0.559,0.73,0.695,3.249,-3.194,78.741,-65.446
BE7,Birchtree,Exposure,0.127,0.457,9354.883,8089.29,841.57,490.84,75.02,66.3,27956.23,30501.51,890.35,610.73,110.08,161.96,3799.27,3394.84,562.78,414.39,35.61,29.84,8149.85,13433.71,546.14,683.55,45.54,84.28,0.245,0.313,7.347,8.827,2.978,525.159,29.14,300.986,3,254.7,8.62,4350.58,10038.87,9.93,54.44,0.335,0.265,0.945,0.804,0.682,0.409,0.136,0.111,0.323,0.184,0.156,0.329,0.09,0.336,0.613,1.119,1.151,0.671,15.67,7.598
BE8,Birchtree,Exposure,0.054,0.602,7593.568,9621.84,607.8,318.16,145.82,222.82,32554.13,33155.56,830.93,483.32,249.09,355.07,3327.46,3384.35,425.32,172.88,51.32,52.38,11100.17,12541.42,512.42,293.46,160.3,212.68,0.23,0.189,3.561,3.648,2.978,1274.236,54.559,664.789,4.2,1058,8.44,7772.71,9157.07,108.98,160.3,0.233,0.29,0.731,0.658,0.585,0.628,0.102,0.102,0.206,0.148,0.239,0.276,0.438,0.451,0.617,0.607,2.431,3.195,68.256,87.57
BE9,Birchtree,Exposure,0.028,0.077,7058.253,10143.03,704.21,307.83,117.96,263.58,34194.93,33734.65,1184.45,458.82,284.61,358.52,5186.88,4107.16,737.71,123.99,78.13,66.38,16533.62,14793.36,899.52,298.29,227.11,294.32,0.257,0.196,3.573,3.541,2.978,3646.32,123.185,1885.501,7.2,2344,8.26,11346.74,10686.2,148.98,227.94,0.206,0.301,0.595,0.671,0.414,0.735,0.152,0.122,0.275,0.185,0.332,0.317,0.523,0.636,0.759,0.65,1.982,4.414,55.468,124.656
BE10,Birchtree,Exposure,0.073,1.509,9934.197,8501.02,445.79,254.78,174.91,222.89,34141.4,31906.15,1261.66,467.84,219.78,467.91,4053.82,2493.83,275.88,116.04,50.13,45.54,14487.31,9919.55,441.43,217.99,195.92,186.33,0.318,0.214,3.777,3.66,2.233,10184.732,301.29,5296.742,14,4669,8.2,10433.49,7425.72,145.79,140.79,0.291,0.266,0.353,0.545,0.796,0.476,0.119,0.078,0.228,0.097,0.306,0.233,0.663,0.301,0.35,0.466,2.907,2.289,76.972,62.534
